bad_account,fail_count,pool,role
7T9uvDmpdKVzxsWkEQvpnZKnEsaK6LQ7tnDpd6pNJfZH,5,unknown,unknown
7UFhXo8UWF6xdjXk6y8sPFiCJEvJC8Lti72pYXcJ1pLQ,5,unknown,unknown
8HchJS2ufNvZv6i3Q6zRLvBDpVe1P72ArR86p2hUHvg6,5,unknown,unknown
CN8k1PtzJz2mGGdf5puwV14Dh1skMRkT42sSvhesf3nT,5,unknown,unknown
CQUfYBxF2KFVjYyCPyGa7JCFX9zw2PwmNnECzY3merGA,5,unknown,unknown
FU4BG5pwU77dFecQ5t7sd3jsdEgwiWEyxqCfufJK4HVa,5,unknown,unknown
37hggNyT4Ec8GEcxMLrWrZyrMSSFMSiFT6VBayRYceZH,4,unknown,unknown
38ciCQrZMoTaRq3sXCzsVeEx7J18HvKAxEzV3oskXJZY,4,unknown,unknown
CyCUgmaCYUZxbux3J2svDzxSryVFMtZNPrnMKS41nc4G,4,unknown,unknown
F865raa7Tx5dkbBiPUXv4VC5iTYrbVm9F1bzxhSwdHAG,4,unknown,unknown
H18xqLYd5uEenmiFKoXkgrTvyhnLgJMPT8sSvdZPpi3p,4,unknown,unknown
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,4,unknown,unknown
sZxb9vrxJBpFiJBogovhfkYqfapVzveLEU4TmzWv4GN,4,unknown,unknown
43JiBt9w9xaeApQ2xHBgJCgqvsvamJBMcg4Xb9rZ3PFa,3,unknown,unknown
5z1c6Je1d1cR2y51qUimyUWYHUjGeb91ZiABVRbyPk6y,3,unknown,unknown
CRKZr6Y9t2hzVNWY4gJk5eig8uznyykB4RTuGSqJDw7n,3,unknown,unknown
Ce8WKGKeNPrtk85inFtkpskekaNibZiogSZBrcP7yhTN,3,unknown,unknown
Cgnuirsk5dQ9Ka1Grnru7J8YW1sYncYUjiXvYxT7G4iZ,3,unknown,unknown
DFKnWLzXYmTrxnmSB27yQhQ9geDLgviCUixn3fDBLFNm,3,unknown,unknown
DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ,3,unknown,unknown
DiXPp92h66c1aovr5cSsEAp5mcbUJfGufwA3SQPMZkFn,3,unknown,unknown
Psui6AUiwCfoydurtqTBJ9ps3djQmSLZyuuGPQ3a8Zj,3,unknown,unknown
bHHnvxhkzBebvqxpnzVaXSdQ1GdFeZFg8yi9YKgL7zE,3,unknown,unknown
37X6Cr513nFVMpd1i3nT1mbJMSwaWkcCUd1nGGuH7trQ,2,unknown,unknown
3Sht4Amox5REC1YLYGuR1Qdfh7fa8d2ucGu4rawjs6tN,2,unknown,unknown
4UopaeYzxPyHtSYcvb1Cj9U3Z8uUf3yngsrTExqi2JAh,2,unknown,unknown
