key,pubkey,seen_count,first_seen_unix,last_seen_unix,severity,classification,action,pool,role,dex
AHFAv95Z67xnPYuHTf5a9uMEHdXFvbQvwc4EazY3tpt7:DbuvwPuLvH8uy2B1sKuu18aCd2QpCvfZdfDtdRZztBd2:tokenAccountB:live_state_stale,AHFAv95Z67xnPYuHTf5a9uMEHdXFvbQvwc4EazY3tpt7,3,1781356730,1781356816,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,DbuvwPuLvH8uy2B1sKuu18aCd2QpCvfZdfDtdRZztBd2,tokenAccountB,DEXYosS6oEGvk8uCDayvwEZz4qEyDJRf9nFgYCaqPMTm
AK93dERw7MJsGFBUPfV1bkXzDviJZM1K6vg2yGDugk7L:9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2:tokenAccountA:live_state_stale,AK93dERw7MJsGFBUPfV1bkXzDviJZM1K6vg2yGDugk7L,2,1781356330,1781356330,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,tokenAccountA,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
AQ36QRk3HAe6PHqBCtKTQnYKpt2kAagq9YoeTqUPMGHx:FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q:tokenAccountB:live_state_stale,AQ36QRk3HAe6PHqBCtKTQnYKpt2kAagq9YoeTqUPMGHx,5,1781355237,1781355615,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q,tokenAccountB,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc
AWym3ZRgysrtzn3npP3M9B2aVSkmLGGssffHMsNFykqM:283tAkQVKT89svN1jCZbHyMsrzRwwYBRuTPrT2y5Ldtj:tokenAccountA:live_state_stale,AWym3ZRgysrtzn3npP3M9B2aVSkmLGGssffHMsNFykqM,1,1781354507,1781354507,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,283tAkQVKT89svN1jCZbHyMsrzRwwYBRuTPrT2y5Ldtj,tokenAccountA,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
AbcuyoPeYnddzFoFQudsiFka8qd6tTwvLgxwtpTKTpKC:3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF:tokenAccountA:normal,AbcuyoPeYnddzFoFQudsiFka8qd6tTwvLgxwtpTKTpKC,3,1781354164,1781355515,needs_grpc_live_state,normal,none,3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,tokenAccountA,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
B6PMKaJeEATv7hMXg2oGFDD8iMv79JaQoadNpa8mFaLk::unknown:live_state_stale,B6PMKaJeEATv7hMXg2oGFDD8iMv79JaQoadNpa8mFaLk,2,1781355616,1781355617,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
BDVsoFu2GrvXG8HRjfp8aCyphSmEhb9Sm92siVSb6VES:4ba9bguTo7HbXFopJHaNMh8iAyApFpyQPgoufj3cSnyt:tokenAccountB:live_state_stale,BDVsoFu2GrvXG8HRjfp8aCyphSmEhb9Sm92siVSb6VES,3,1781355609,1781356740,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,4ba9bguTo7HbXFopJHaNMh8iAyApFpyQPgoufj3cSnyt,tokenAccountB,MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms
BF83iQ3svtuFaM7Eb5kFBGrsqTuHeZPnFCKBmzC1PTDQ:Has2dQDkTXyzEm5HKCDyxHuCwPcPwf1PN6zQg7JKt9Xn:tokenAccountA:normal,BF83iQ3svtuFaM7Eb5kFBGrsqTuHeZPnFCKBmzC1PTDQ,18,1781354239,1781356803,needs_grpc_live_state,normal,none,Has2dQDkTXyzEm5HKCDyxHuCwPcPwf1PN6zQg7JKt9Xn,tokenAccountA,ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA
BLtETTx81aLGdXVmqsaRBNFG6sraxK76CE55NPLW8ja4::unknown:live_state_stale,BLtETTx81aLGdXVmqsaRBNFG6sraxK76CE55NPLW8ja4,1,1781356736,1781356736,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
BfdXW4vZbRbuzvS4Utjs9YNJEntwPvw5nkjTjMr7Pexa::unknown:live_state_stale,BfdXW4vZbRbuzvS4Utjs9YNJEntwPvw5nkjTjMr7Pexa,4,1781354513,1781354655,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
BhQEFZCRnWKQ21LEt4DUby7fKynfmLVJcNjfHNqjEF61:BhQEFZCRnWKQ21LEt4DUby7fKynfmLVJcNjfHNqjEF61:pool:live_state_stale,BhQEFZCRnWKQ21LEt4DUby7fKynfmLVJcNjfHNqjEF61,1,1781356224,1781356224,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,BhQEFZCRnWKQ21LEt4DUby7fKynfmLVJcNjfHNqjEF61,pool,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
BjBiyPv1gYiCusM5xvemmNMEF58gCKtFbPR16ksak6b9:3a2ceHEsNjQCSXGfDzju8Xe8Aj86D8DGAHK4tuNRYRHT:tokenAccountB:live_state_stale,BjBiyPv1gYiCusM5xvemmNMEF58gCKtFbPR16ksak6b9,1,1781355609,1781355609,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,3a2ceHEsNjQCSXGfDzju8Xe8Aj86D8DGAHK4tuNRYRHT,tokenAccountB,MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms
BkmQoLwdoseDsHZxSFo76XSGnyMixy6iUtMEHVzMuNP9:4ba9bguTo7HbXFopJHaNMh8iAyApFpyQPgoufj3cSnyt:tokenAccountA:live_state_stale,BkmQoLwdoseDsHZxSFo76XSGnyMixy6iUtMEHVzMuNP9,3,1781355609,1781356740,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,4ba9bguTo7HbXFopJHaNMh8iAyApFpyQPgoufj3cSnyt,tokenAccountA,MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms
